country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Uruguay,CHUY,right,0.7143,2018,-33.6937948,-53.4561114
Uruguay,MONTEVIDÉU,right,0.5913,2014,-34.9058916,-56.1913095
Uruguay,MONTEVIDÉU,right,0.593,2018,-34.9058916,-56.1913095
Uruguay,MONTEVIDÉU,left,0.5798,2022,-34.9058916,-56.1913095
Venezuela,CARACAS,right,0.7086,2014,10.5060934,-66.9146008
Venezuela,CARACAS,right,0.8431,2018,10.5060934,-66.9146008
Venezuela,CARACAS,right,1.0,2022,10.5060934,-66.9146008
Venezuela,CIUDAD GUAYANA,right,0.8286,2014,8.3223763,-62.6896622
Venezuela,CIUDAD GUAYANA,right,0.8889,2018,8.3223763,-62.6896622
Vietnam,HANÓI,left,0.5882,2018,21.0283334,105.854041
Vietnam,HANÓI,left,0.6842,2022,21.0283334,105.854041
Zambia,LUSACA,right,0.8824,2018,-15.4163395,28.2818414
Zambia,LUSACA,left,0.9286,2022,-15.4163395,28.2818414
